published_doi,biorxiv_doi,published_doi,preprint_title,preprint_category,preprint_date,published_date,published_citation_count,days_to_publish,pub_prefix,pub_name,journal
10.1371/journal.pone.0174918,10.1101/097592,10.1371/journal.pone.0174918,Density-based clustering: A ‘landscape view’ of multi-channel neural data for inference and dynamic complexity analysis,neuroscience,2016-12-31,2017-04-03,0,93.0,10.1371,Public Library of Science,PLOS ONE
10.1038/srep45551,10.1101/088898,10.1038/srep45551,"Visual crowding is a combination of an increase of positional uncertainty, source confusion, and featural averaging",neuroscience,2016-11-21,2017-04-05,1,135.0,10.1038,Nature Publishing Group,Scientific Reports
10.1016/j.neuroimage.2017.04.002,10.1101/089565,10.1016/j.neuroimage.2017.04.002,Coordinate Based Random Effect Size meta-analysis of neuroimaging studies,neuroscience,2016-11-25,2017-04-04,1,130.0,10.1016,Elsevier,NeuroImage
10.1038/sdata.2017.40,10.1101/092213,10.1038/sdata.2017.40,A Resource for Assessing Information Processing in the Developing Brain Using EEG and Eye Tracking,neuroscience,2016-12-07,2017-04-11,6,125.0,10.1038,Nature Publishing Group,Scientific Data
10.1093/cercor/bhx087,10.1101/084517,10.1093/cercor/bhx087,Bayesian mapping reveals that attention boosts neural responses to predicted and unpredicted stimuli,neuroscience,2016-10-31,2017-04-10,0,161.0,10.1093,Oxford University Press,Cerebral Cortex
10.1016/j.cub.2017.03.031,10.1101/116236,10.1016/j.cub.2017.03.031,Rapid spatial learning controls instinctive defensive behavior in mice,neuroscience,2017-03-23,2017-04-07,11,15.0,10.1016,Elsevier,Current Biology
10.1038/ncomms15029,10.1101/078527,10.1038/ncomms15029,Activation of the hypothalamic feeding centre upon visual prey detection,neuroscience,2017-02-17,2017-04-20,8,62.0,10.1038,Nature Publishing Group,Nature Communications
10.1162/jocn_a_01132,10.1101/109256,10.1162/jocn_a_01132,Parametrically scalable memory reactivation using multiple object tracking,neuroscience,2017-02-16,2017-04-07,0,50.0,10.1162,10.1162,Journal of Cognitive Neuroscience
10.1002/da.22627,10.1101/115097,10.1002/da.22627,Clinically Useful Brain Imaging for Neuropsychiatry: How Can We Get There?,neuroscience,2017-03-09,2017-04-20,3,42.0,10.1002,Wiley Blackwell (John Wiley & Sons),Depression and Anxiety
10.1038/s41562-017-0072,10.1101/098988,10.1038/s41562-017-0072,Spontaneous Neural Encoding of Social Network Position,neuroscience,2017-01-09,2017-04-18,17,99.0,10.1038,Nature Publishing Group,Nature Human Behaviour
10.1016/j.cub.2017.03.047,10.1101/121863,10.1016/j.cub.2017.03.047,"Stem cell intrinsic, Seven-up-triggered temporal factor gradients diversify intermediate neural progenitors",neuroscience,2017-03-29,2017-04-10,10,12.0,10.1016,Elsevier,Current Biology
10.1016/j.conb.2017.03.015,10.1101/116400,10.1016/j.conb.2017.03.015,The temporal paradox of Hebbian learning and homeostatic plasticity,neuroscience,2017-03-14,2017-04-18,14,35.0,10.1016,Elsevier,Current Opinion in Neurobiology
10.1016/j.nicl.2017.03.016,10.1101/102699,10.1016/j.nicl.2017.03.016,Family history and APOE4 risk for Alzheimer’s Disease impact the neural correlates of episodic memory by early midlife,neuroscience,2017-01-24,2017-03-31,3,66.0,10.1016,Elsevier,NeuroImage: Clinical
10.1038/srep45125,10.1101/085365,10.1038/srep45125,Transcriptomics reveals patterns of sexually dimorphic gene expression in an avian hypothalamic-pituitary-gonadal (HPG) axis,neuroscience,2016-11-03,2017-04-18,4,166.0,10.1038,Nature Publishing Group,Scientific Reports
10.7554/elife.25827,10.1101/106567,10.7554/eLife.25827,Synaptic input sequence discrimination on behavioral time-scales mediated by reaction-diffusion chemistry in dendrites,neuroscience,2017-02-07,2017-04-19,1,71.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1016/j.bbr.2017.03.048,10.1101/108704,10.1016/j.bbr.2017.03.048,An oscillopathic approach to developmental dyslexia: from genes to speech processing,neuroscience,2017-02-14,2017-04-22,1,67.0,10.1016,Elsevier,Behavioural Brain Research
10.1371/journal.pone.0175316,10.1101/096172,10.1371/journal.pone.0175316,Gene expression patterns associated with neurological disease in HIV infection,neuroscience,2016-12-23,2017-04-26,3,124.0,10.1371,Public Library of Science,PLOS ONE
10.1186/s13064-017-0083-4,10.1101/098236,10.1186/s13064-017-0083-4,Semaphorin-Plexin signaling influences early ventral telencephalic development and thalamocortical axon guidance,neuroscience,2017-01-05,2017-04-24,2,109.0,10.1186,Springer (Biomed Central Ltd.),Neural Development
10.1111/gbb.12386,10.1101/089458,10.1111/gbb.12386,Transcriptional signatures of connectomic subregions of the human striatum,neuroscience,2016-12-11,2017-04-19,3,129.0,10.1111,10.1111,"Genes, Brain and Behavior"
10.1093/nar/gkx292,10.1101/099093,10.1093/nar/gkx292,Using high-throughput barcode sequencing to efficiently map connectomes,neuroscience,2017-01-09,2017-04-26,7,107.0,10.1093,Oxford University Press,Nucleic Acids Research
10.1063/1.4979281,10.1101/085514,10.1063/1.4979281,Structural connectome topology relates to regional BOLD signal dynamics in the mouse brain,neuroscience,2016-11-06,2017-04-15,6,160.0,10.1063,American Institute of Physics,Chaos: An Interdisciplinary Journal of Nonlinear Science
10.1111/ejn.13597,10.1101/101584,10.1111/ejn.13597,Myosin II activity is required for structural plasticity at the axon initial segment,neuroscience,2017-01-19,2017-04-27,6,98.0,10.1111,10.1111,European Journal of Neuroscience
10.1016/j.neuroimage.2017.04.063,10.1101/105874,10.1016/j.neuroimage.2017.04.063,A population MRI brain template and analysis tools for the macaque,neuroscience,2017-02-03,2017-04-28,6,84.0,10.1016,Elsevier,NeuroImage
10.1073/pnas.1616130114,10.1101/096420,10.1073/pnas.1616130114,Brain connectivity dynamics during social interaction reflect social network structure,neuroscience,2016-12-23,2017-05-02,9,130.0,10.1073,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences
10.7554/elife.25073,10.1101/099051,10.7554/eLife.25073,Saccadic suppression as a perceptual consequence of efficient sensorimotor estimation,neuroscience,2017-01-08,2017-05-02,5,114.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1038/s41598-017-01830-0,10.1101/084632,10.1038/s41598-017-01830-0,Visual processing mode switching regulated by VIP cells,neuroscience,2016-10-31,2017-05-12,2,193.0,10.1038,Nature Publishing Group,Scientific Reports
10.1016/j.biosystems.2017.04.006,10.1101/104521,10.1016/j.biosystems.2017.04.006,Boredom begets creativity: a solution to the exploitation-exploration trade-off in predictive coding,neuroscience,2017-01-31,2017-05-04,1,93.0,10.1016,Elsevier,Biosystems
10.1016/j.neuroimage.2017.04.069,10.1101/091066,10.1016/j.neuroimage.2017.04.069,A Bayesian Heteroscedastic GLM with Application to fMRI Data with Motion Spikes,neuroscience,2016-12-02,2017-05-01,1,150.0,10.1016,Elsevier,NeuroImage
10.1038/s41598-017-01658-8,10.1101/116467,10.1038/s41598-017-01658-8,Exact firing time statistics of neurons driven by discrete inhibitory noise,neuroscience,2017-03-14,2017-05-08,2,55.0,10.1038,Nature Publishing Group,Scientific Reports
10.1002/hipo.22737,10.1101/125260,10.1002/hipo.22737,Running Promotes Spatial Bias Independently Of Adult Neurogenesis,neuroscience,2017-04-07,2017-05-05,2,28.0,10.1002,Wiley Blackwell (John Wiley & Sons),Hippocampus
10.1093/ntr/ntw204,10.1101/128744,10.1093/ntr/ntw204,Does tobacco abstinence decrease reward sensitivity? A human laboratory test,neuroscience,2017-04-19,2017-06-01,2,43.0,10.1093,Oxford University Press,Nicotine & Tobacco Research
10.1093/ntr/ntw272,10.1101/128793,10.1093/ntr/ntw272,Development of a Self-Report Measure of Reward Sensitivity: A Test in Current and Former Smokers,neuroscience,2017-04-20,2017-06-01,1,42.0,10.1093,Oxford University Press,Nicotine & Tobacco Research
10.1080/17470919.2017.1324521,10.1101/129734,10.1080/17470919.2017.1324521,Evaluating Methods of Correcting for Multiple Comparisons Implemented in SPM12 in Social Neuroscience fMRI Studies: An Example from Moral Psychology,neuroscience,2017-04-23,2017-05-15,1,22.0,10.1080,10.1080,Social Neuroscience
10.7554/elife.26084,10.1101/110072,10.7554/eLife.26084,Recurrent inhibition in striatum enables transfer of time-flexible skills to basal ganglia,neuroscience,2017-02-21,2017-05-08,0,76.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1111/ejn.13610,10.1101/121079,10.1111/ejn.13610,Beyond differences in means: robust graphical methods to compare two groups in neuroscience,neuroscience,2017-03-27,2017-05-24,5,58.0,10.1111,10.1111,European Journal of Neuroscience
10.1016/j.neuroimage.2017.05.017,10.1101/128165,10.1016/j.neuroimage.2017.05.017,White matter alterations at pubertal onset,neuroscience,2017-04-19,2017-05-19,10,30.0,10.1016,Elsevier,NeuroImage
10.1093/sleep/zsx084,10.1101/124198,10.1093/sleep/zsx084,Sleep-Dependent Modulation Of Metabolic Rate In Drosophila,neuroscience,2017-04-04,2017-05-25,5,51.0,10.1093,Oxford University Press,Sleep
10.1038/s41598-017-01911-0,10.1101/082818,10.1038/s41598-017-01911-0,Multivariate EEG analyses support high-resolution tracking of feature-based attentional selection,neuroscience,2016-10-24,2017-05-15,3,203.0,10.1038,Nature Publishing Group,Scientific Reports
